start
,3957
7,926,23502,-20142,78645
118,-630,456,20387,47197,-2187
118,-630,456,20387,47197,-2187
139,-626,463,19845,48107,367
139,-589,412,21245,37765,-402
47,-638,399,22557,23082,-7980
47,-638,399,22557,23082,-7980
-42,-721,393,19407,1925,-27090
-73,-794,398,13002,-23065,-45290
-86,-872,385,2975,-38990,-49822
-86,-872,385,2975,-38990,-49822
-87,-933,367,-11812,-29837,-39900
-78,-938,396,-27247,-7997,-19652
-67,-899,408,-41930,12740,3062
-67,-899,408,-41930,12740,3062
-52,-854,433,-52237,30415,20440
-31,-816,452,-60672,42770,32532
-34,-813,459,-63332,48965,40495
-34,-813,459,-63332,48965,40495
-24,-829,452,-59150,44467,47110
-10,-837,443,-53497,31220,55545
-22,-839,409,-52990,15697,62860
-22,-839,409,-52990,15697,62860
-72,-877,401,-55615,35,63420
-118,-931,423,-59412,-19512,57645
-136,-960,452,-61127,-37800,54372
-136,-960,452,-61127,-37800,54372
-124,-993,425,-56927,-46760,62160
-70,-974,390,-47897,-51117,79957
-30,-962,397,-43907,-54600,97825
-30,-962,397,-43907,-54600,97825
3,-1006,420,-51817,-55300,105437
64,-1017,430,-64575,-50312,104825
71,-1031,461,-71295,-37537,102182
83,-1029,485,-69510,-23590,96582
83,-1029,485,-69510,-23590,96582
97,-1004,498,-62807,-13930,91262
90,-1011,506,-56280,-8802,86187
56,-1062,525,-51625,-5827,76685
56,-1062,525,-51625,-5827,76685
-6,-1112,548,-48177,-5512,59482
-28,-1099,561,-43050,-6790,39235
-61,-1083,594,-36785,-6002,27072
-61,-1083,594,-36785,-6002,27072
-127,-1090,620,-33145,-7140,20597
-153,-1091,641,-29837,-11007,13597
-140,-1039,657,-25952,-18532,10255
-140,-1039,657,-25952,-18532,10255
-150,-966,621,-19337,-28367,12180
-172,-864,573,-4392,-31990,13685
-203,-773,538,16415,-33355,12862
-203,-773,538,16415,-33355,12862
-231,-741,510,36837,-43907,11357
-253,-806,483,52797,-67322,11130
-337,-947,442,64592,-94622,9887
-337,-947,442,64592,-94622,9887
-474,-1082,462,70735,-116952,175
-532,-1106,438,67392,-139527,-16240
-547,-1050,422,62650,-150972,-26967
-547,-1050,422,62650,-150972,-26967
-643,-1012,423,60620,-143027,-33075
-692,-1029,344,66150,-113890,-44572
-480,-1042,460,83580,-69580,-51222
-480,-1042,460,83580,-69580,-51222
-462,-898,371,88515,-48632,-33425
-354,-873,298,91717,-42927,-12092
-386,-616,298,86117,-49192,7052
-386,-616,298,83282,-31517,892
-653,-741,169,83282,-31517,892
-526,-778,424,90492,6615,-28507
-327,-712,502,67935,5355,-19057
-387,-839,409,44187,-22872,18200
-387,-839,409,44187,-22872,18200
-415,-840,329,39042,-36995,28805
-371,-838,378,32130,-43977,22260
-340,-873,401,14665,-56875,18165
-340,-873,401,14665,-56875,18165
-303,-901,475,5197,-47565,11497
-212,-913,563,-4515,-25217,5757
-202,-925,513,-19827,-10920,4357
-202,-925,513,-19827,-10920,4357
-198,-978,477,-25777,-1120,-2835
-236,-1023,490,-25742,8575,-17325
-281,-1053,514,-27475,23135,-39357
-281,-1053,514,-27475,23135,-39357
-286,-1088,499,-28542,41737,-59465
-258,-1064,471,-24412,60340,-65292
-213,-1001,452,-21437,73675,-57242
-213,-1001,452,-21437,73675,-57242
-172,-947,429,-22802,82250,-44747
-178,-893,442,-24360,92347,-37467
-180,-858,469,-28490,100590,-38832
-180,-858,469,-28490,100590,-38832
-135,-868,489,-33022,102777,-40757
-104,-920,473,-30607,99960,-35840
-111,-948,495,-19530,96617,-30870
-111,-948,495,-19530,96617,-30870
-130,-953,508,-7542,91350,-34090
-168,-966,497,4602,82372,-45080
-202,-1000,483,17780,66570,-58852
-202,-1000,483,29680,46305,-68425
-208,-1045,460,29680,46305,-68425
-186,-1044,443,37905,28892,-69877
-164,-1043,404,39637,21472,-69842
-143,-1024,388,38902,27335,-71575
-143,-1024,388,38902,27335,-71575
-121,-970,370,35017,40460,-69965
-122,-942,387,26372,57330,-66955
-111,-937,405,13580,70297,-66167
-111,-937,405,13580,70297,-66167
-94,-923,400,5862,76842,-65467
-113,-910,386,6667,80815,-65642
-121,-908,385,9922,85505,-70665
-121,-908,385,9922,85505,-70665
-114,-872,393,12162,94587,-77262
-137,-849,414,11305,107117,-82390
-142,-806,410,7577,116112,-86310
-142,-806,410,7577,116112,-86310
-160,-789,406,4830,120505,-86047
-203,-802,405,3535,120802,-84332
-231,-812,400,3412,119175,-84822
-231,-812,400,3412,119175,-84822
-242,-809,402,4322,118125,-84805
-249,-815,406,3815,117180,-81655
-261,-817,425,1697,117652,-76492
-261,-817,425,1697,117652,-76492
-265,-815,464,-2502,119577,-71347
-256,-805,487,-8977,122290,-66255
-259,-800,512,-12985,126367,-60917
-259,-800,512,-12985,126367,-60917
-284,-803,536,-13177,131197,-57067
-316,-820,576,-12582,132072,-55160
-318,-841,601,-15295,125265,-52657
-318,-841,601,-18795,116882,-46357
-301,-852,600,-18795,116882,-46357
-285,-854,605,-20580,111387,-36977
-276,-871,607,-20877,109130,-28560
-272,-900,622,-20212,109147,-23467
-272,-900,622,-20212,109147,-23467
-249,-929,630,-20772,106890,-19757
-229,-944,613,-21315,101325,-14910
-217,-949,598,-19057,96740,-10902
-217,-949,598,-19057,96740,-10902
-223,-954,588,-14122,97002,-10447
-235,-969,602,-7980,99960,-13860
-236,-957,592,-4410,98612,-17885
-236,-957,592,-4410,98612,-17885
-234,-942,575,-1715,92190,-19057
-217,-916,553,2292,84035,-16835
-206,-895,539,7752,79712,-12932
-206,-895,539,7752,79712,-12932
-194,-874,534,12372,81497,-9695
-187,-862,555,13685,85820,-6632
-191,-852,569,10360,84140,-3080
-191,-852,569,10360,84140,-3080
-186,-824,574,5442,75092,350
-204,-879,607,1050,61897,2712
-239,-977,646,-2747,48265,1820
-239,-977,646,-2747,48265,1820
-265,-1051,664,-7472,35665,-2152
-276,-1066,635,-11235,24167,-7472
-266,-1012,587,-8347,17850,-12512
-266,-1012,587,-8347,17850,-12512
-248,-950,576,-297,20702,-16572
-227,-949,559,6072,28717,-20527
-218,-960,519,12215,42787,-26582
-218,-960,519,12215,42787,-26582
-232,-946,484,21665,62492,-35612
-250,-898,481,32095,80412,-47337
-261,-836,501,38832,89950,-59202
-261,-836,501,38832,89950,-59202
-271,-800,520,38395,90685,-68372
-268,-770,507,32970,87185,-74357
-257,-748,498,28717,86555,-77262
-257,-748,498,25847,91717,-77962
-251,-740,504,25847,91717,-77962
-252,-748,506,22855,103267,-77805
-266,-763,553,20107,114310,-76510
-270,-760,587,14945,113977,-74725
-270,-760,587,14945,113977,-74725
-269,-762,594,9275,103565,-72170
-284,-777,601,4375,91560,-69580
-288,-811,622,-1242,80710,-67882
-288,-811,622,-1242,80710,-67882
-279,-831,615,-6510,74375,-65467
