start
95,9870,-10920
5,1730,-6317,96302,8277
237,-1394,773,8505,-83597,34335
231,-1389,703,-2187,-83300,39305
-47,-1443,833,4480,-76422,32655
-47,-1443,833,4480,-76422,32655
976,-1792,1159,39287,-111265,87710
1237,-2711,883,76580,-135450,276027
893,-1768,83,132352,-136710,356282
265,-1247,271,182980,-124757,279807
265,-1247,271,182980,-124757,279807
199,-773,422,134487,-104107,94727
61,-700,542,45867,-52535,-79695
-18,-792,584,9397,-52990,-142380
-18,-792,584,9397,-52990,-142380
75,-966,621,11375,-59780,-120137
177,-1114,635,13037,-26250,-64295
36,-1170,550,14840,892,-24167
36,-1170,550,14840,892,-24167
-4,-1093,412,16730,560,-34615
-6,-946,371,7350,8505,-71277
-51,-821,406,-15522,42927,-106050
-51,-821,406,-15522,42927,-106050
-29,-748,559,-36890,83702,-117005
121,-759,732,-54302,106277,-90825
310,-724,712,-63297,99487,-34527
310,-724,712,-63297,99487,-34527
509,-688,718,-54250,75775,31920
572,-778,677,-46252,31237,89967
465,-842,528,-39637,-17885,99610
465,-842,528,-39637,-17885,99610
264,-926,483,-33407,-38465,42787
240,-931,587,-38972,-26355,-43050
387,-814,762,-55195,-12075,-91297
387,-814,762,-55195,-12075,-91297
916,-821,1067,-90300,-30607,-62160
1005,-924,638,-151725,-88217,44747
593,-825,371,-141242,-88462,99802
593,-825,371,-141242,-88462,99802
463,-702,544,-98892,-50610,36680
366,-617,496,-79362,-68495,-49490
177,-737,340,-48702,-122832,-91210
161,-866,199,-16800,-146125,-106032
161,-866,199,-16800,-146125,-106032
218,-953,119,13352,-112682,-97842
248,-926,116,38780,-58607,-67340
268,-821,93,48895,-2292,-31185
268,-821,93,48895,-2292,-31185
215,-760,185,50172,43785,-9870
176,-746,268,39655,64522,-15172
192,-739,303,25480,68285,-36155
192,-739,303,25480,68285,-36155
176,-746,323,24202,61372,-58397
116,-731,305,41877,59710,-80447
57,-690,281,71137,71750,-98490
57,-690,281,71137,71750,-98490
29,-551,170,100310,88672,-104562
16,-430,113,128782,108482,-97230
395,156,1471,121572,105560,-72415
395,156,1471,121572,105560,-72415
1223,-161,1156,-87395,-61197,44047
925,-783,549,-217700,-207795,215057
988,-747,206,-167737,-215967,267890
988,-747,206,-167737,-215967,267890
750,-856,16,-41020,-129517,230265
516,-962,189,110075,-33407,129272
558,-793,287,195562,4812,42682
558,-793,287,204417,-12425,33985
577,-750,379,204417,-12425,33985
598,-788,318,149380,-70297,78382
608,-786,100,68757,-105577,125720
456,-808,13,15767,-84700,147000
456,-808,13,15767,-84700,147000
322,-767,48,-3272,-30695,126455
257,-803,228,-1085,15417,83650
237,-935,371,-2940,13842,52255
237,-935,371,-2940,13842,52255
277,-1079,337,-16502,-16275,41020
324,-1137,282,-29697,-21665,35910
288,-1119,296,-37065,4112,27580
288,-1119,296,-37065,4112,27580
234,-1033,406,-36557,31465,15855
131,-970,493,-35472,35070,7227
65,-986,522,-36120,16817,-490
65,-986,522,-36120,16817,-490
70,-1017,499,-40495,-9940,-3010
79,-1012,403,-44782,-35070,2817
43,-1001,333,-41947,-41475,6492
43,-1001,333,-41947,-41475,6492
36,-964,333,-35525,-28857,2835
58,-931,385,-32550,-9852,297
99,-915,455,-36557,8242,3692
99,-915,455,-36557,8242,3692
140,-919,536,-47127,19425,12390
174,-928,581,-60252,17447,23135
198,-928,595,-69877,5057,31815
198,-928,595,-69877,5057,31815
222,-918,572,-73045,-9660,35105
251,-911,538,-67060,-21175,33215
